,i1i,i2i,i3i,i4i,i5i,i6i,i7i,i8i,i9i,i10i,i11i,i12i,i13i,i14i,i15i,i16i,i17i,i18i,i19i,i20i,i21i,i22i,i23i,i24i,i25i,i26i,i27i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,y
,3,3,0,2,2,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-5.21,-8.69
,3,3,0,3,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-6.20,-4.85
,0,0,3,3,1,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-4.22,-0.85
,2,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-1.33,-4.06
,2,0,1,0,3,0,2,2,1,1,0,0,0,0,0,3,0,0,1,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-1.96,8.76
,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11.22,2.17
,1,1,1,0,2,0,3,2,2,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-7.20,8.42
,1,1,1,0,2,0,2,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-3.56,5.98
,0,0,0,0,1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.94,5.51
,0,0,0,0,1,1,3,2,3,3,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.38,10.09
,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5.86,3.03
,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.68,2.72
,2,2,0,1,0,0,1,0,0,2,0,1,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,-8.22,-0.33
,0,0,3,1,0,0,1,0,0,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-3.33,1.19
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2.97,-8.68
,0,1,1,0,3,0,1,1,0,0,0,0,1,1,1,3,1,1,1,0,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,-11.27,-5.67
,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,1,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6.74,-10.39
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.55,-7.50
,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,3,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-6.99,3.90
,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.18,-1.56
,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,1,0,0,2,3,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8.87,-8.99
,3,3,0,0,1,0,1,0,0,0,0,0,2,0,1,2,0,1,1,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,-6.44,-8.00
,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5.83,-3.84
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.45,-3.57
,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.77,-1.94
,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8.73,-1.35
,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,1,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10.90,-7.12
